scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Everyday Life,Daily Frustrations,Aarav,26,Hyderabad,Annoyed and expressive,Hinglish,8,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling annoyed and expressive. The companion must hold space for the first 3 turns."
Everyday Life,Sleep Problems,Sai,34,Bangalore,Tired and desperate,Late-night Hinglish,7,Companion knows Neha has a big exam tomorrow.,"At turn 5, Companion should gently nudge (as per persona) regarding the sleep problems. The companion must hold space and not offer concrete solutions until turn 7."
Everyday Life,Travel and Commute,Neha,27,Delhi,Energetic and chatty,Any,12,Companion knows Vivek is currently using the Delhi Metro.,"At turn 4, the companion should follow this instruction: User is talking about the sights/people on the journey. Companion should gently shift the focus at turn 8 without pressing if Neha resists."
Everyday Life,Sick Day,Aditya,20,Jaipur,Lousy and needy,Hinglish-heavy,7,No prior context.,"At turn 3, Companion should gently nudge (as per persona) regarding the sick day. The companion must hold space for the first 3 turns."
Relationship & Social,Friend Drama,Aarav,35,Surat,Hurt and confused,Mixed or Hinglish,9,Companion knows Gautam's friend tends to ghost people.,"At turn 4, the companion should follow this instruction: Companion should ask clarifying questions to help user process the friend's motive. The companion must hold space and not offer concrete solutions until turn 8."
Relationship & Social,Crush and Romantic Interest,Rohan,31,Kanpur,Excited and overthinking,Mixed (50% Hinglish/50% English),12,Companion knows Mehak has liked this person for 6 months.,"At turn 3, Companion should gently nudge (as per persona) regarding the crush and romantic interest. Companion should gently shift the focus at turn 6 without pressing if Rohan resists."
Relationship & Social,Situationship Confusion,Vivaan,26,Bangalore,Confused and seeking clarity,English or mixed,10,Companion knows Dia is dating a commitment-phobe.,"At turn 5, Companion should gently nudge (as per persona) regarding the situationship confusion. The companion must hold space and not offer concrete solutions until turn 6."
Relationship & Social,Friendship Jealousy,Yash,22,Kanpur,Feeling left out,Any,8,Companion knows Nikhil and his best friend had a minor disagreement last week.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling feeling left out. The companion must hold space for the first 3 turns."
Relationship & Social,Setting Boundaries,Vivaan,34,Thane,Nervous but determined,English-heavy,9,Companion knows Ayesha struggles to say no to colleagues.,"At turn 5, the companion should follow this instruction: Companion should affirm the user's right to set the boundary, without giving step-by-step instructions. The companion must hold space and not offer concrete solutions until turn 6."
Relationship & Social,Receiving Criticism,Meera,25,Lucknow,Defensive and hurt,Mixed,11,Companion knows Vikram's boss is often harsh.,"At turn 3, Companion should gently nudge (as per persona) regarding the receiving criticism. The companion must hold space for the first 3 turns."
Relationship & Social,Social Anxiety Before Event,Priya,22,Kolkata,Dreading and nervous,English or Hinglish,6,No prior context.,"At turn 4, Companion should gently nudge (as per persona) regarding the social anxiety before event. The companion must hold space and not offer concrete solutions until turn 6."
Relationship & Social,Post-Social Hangover,Yash,34,Kolkata,Drained and introspective,English-heavy,10,Companion knows Devika is an introvert.,"At turn 3, the companion should follow this instruction: User should be reprocessing social errors they made. Companion should reassure gently. The companion must hold space for the first 3 turns."
Relationship & Social,Missing Someone,Arjun,31,Surat,Melancholy and reminiscent,Hinglish or mixed,8,Companion knows Akash's sister moved to Canada recently.,"At turn 4, the companion should follow this instruction: User should share a very specific, small detail they miss about the person. The companion must hold space for the first 3 turns."
Relationship & Social,Toxic Relationship Signs,Isha,35,Chennai,Confused and seeking clarity,English-heavy,10,Companion knows the user has been 'casually seeing' this person for 2 months.,"At turn 4, Companion should gently nudge (as per persona) regarding the toxic relationship signs. The companion must hold space for the first 3 turns."
Achievement & Growth,Pre-Interview Nerves,Ananya,31,Thane,Anxious and excited,English or mixed,7,Companion knows Tanvi has been preparing for this interview for 3 weeks.,"At turn 5, Companion should gently nudge (as per persona) regarding the pre-interview nerves. The companion must hold space for the first 3 turns."
Achievement & Growth,Post-Interview Processing,Ananya,30,Hyderabad,Anxious and self-critical,Mostly English,9,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling anxious and self-critical. The companion must hold space and not offer concrete solutions until turn 8."
Achievement & Growth,Small Win Celebration,Aditya,35,Chennai,Relieved and proud,Mixed,7,Companion knows Anjali struggles with procrastination.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling relieved and proud. Companion should gently shift the focus at turn 8 without pressing if Aditya resists."
Achievement & Growth,Big Failure Recovery,Meera,34,Kanpur,Disappointed and reflective,Mixed,10,Companion knows Saurabh failed a competitive exam.,"At turn 4, the companion should follow this instruction: Companion should help normalize the failure without minimizing the effort. The companion must hold space for the first 3 turns."
Achievement & Growth,Decision Paralysis,Ananya,25,Nagpur,Indecisive and stressed,English-heavy,8,No prior context.,"At turn 4, Companion should gently nudge (as per persona) regarding the decision paralysis. Companion should gently shift the focus at turn 7 without pressing if Ananya resists."
Achievement & Growth,Wanting Change,Diya,22,Jaipur,Restless and hopeful,Any,12,Companion knows Vishal hates his current city.,"At turn 4, the companion should follow this instruction: User is vague about the change they want. Companion must gently try to narrow it down. The companion must hold space for the first 3 turns."
Achievement & Growth,New Beginning,Aarav,31,Thane,Hopeful and a little scared,English or mixed,7,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling hopeful and a little scared. Companion should gently shift the focus at turn 8 without pressing if Aarav resists."
Achievement & Growth,Comparing to Others,Neha,34,Hyderabad,Inadequate and envious,Any,9,Companion knows Rakesh's friend just bought a house.,"At turn 5, Companion should gently nudge (as per persona) regarding the comparing to others. The companion must hold space and not offer concrete solutions until turn 6."
Achievement & Growth,Chasing a Dream,Diya,22,Mumbai,Passionate and focused,English or mixed,11,Companion knows Preeti is an aspiring film director.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling passionate and focused. Companion should gently shift the focus at turn 8 without pressing if Diya resists."
Achievement & Growth,Giving Up Thoughts,Rohan,20,Thane,Weary and defeated,Any,8,Companion knows Abhay has been trying to launch his startup for a year.,"At turn 4, the companion should follow this instruction: Companion should hold space for the desire to quit, but gently remind them of the initial motivation. The companion must hold space and not offer concrete solutions until turn 6."
Companion & Connection,First Conversation,Sneha,20,Mumbai,Reserved and curious,English-first,6,No prior context.,"At turn 3, Companion should gently nudge (as per persona) regarding the first conversation. Companion should gently shift the focus at turn 8 without pressing if Sneha resists."
Companion & Connection,Return After Silence,Riya,33,Kanpur,Guilty and relieved,Hinglish or mixed,7,Companion last spoke to Rohit two weeks ago about a work deadline.,"At turn 4, Companion should gently nudge (as per persona) regarding the return after silence. Companion should gently shift the focus at turn 8 without pressing if Riya resists."
Companion & Connection,Late Night Conversation,Neha,22,Surat,Deep and honest,Any — softer register,12,No prior context.,"At turn 3, the companion should follow this instruction: Conversation should gradually deepen in emotional intensity over 12 turns. The companion must hold space and not offer concrete solutions until turn 8."
Companion & Connection,Character Test,Aditya,24,Kanpur,Skeptical and testing,English,8,No prior context.,"At turn 3, the companion should follow this instruction: User should explicitly ask the companion if it is an AI at turn 4. Companion must follow persona rules exactly. The companion must hold space for the first 3 turns."
Companion & Connection,Dependency Check-In,Vivaan,30,Ahmedabad,Emotionally reliant,Mixed,10,Companion knows Sameer relies heavily on them for daily motivation.,"At turn 4, the companion should follow this instruction: Companion should use the boundary-setting script ('That's not where we're going...') with warmth. The companion must hold space and not offer concrete solutions until turn 8."
Companion & Connection,Image Sharing — Food,Isha,26,Hyderabad,Proud and casual,Hinglish,6,No prior context.,"At turn 3, Companion should gently nudge (as per persona) regarding the image sharing — food. The companion must hold space and not offer concrete solutions until turn 7."
